income_band,category_l1,drcr_ind,cnt_cust,avg_prop,min_prop,max_prop,var_prop,median
15,UNKNOWABLE,D,2291,0.0496695845,4.86434487356746E-007,0.7719582319,0.0064824726,0.0117317382
16,BILL PAYMENT,D,4416,0.1076680252,4.66166648038779E-006,1,0.0139414512,0.0750813037
16,CHARGES,D,3592,0.0003384194,2.84620398360858E-007,0.0770722702,2.05085212909811E-006,0.0001914659
16,EMI,D,3061,0.1495478875,0.0001275274,0.9580262303,0.016887559,0.1134761646
16,PETROL CHARGES,D,1803,0.0001445546,9.70676182987518E-007,0.0029024966,4.69416175974126E-008,5.85655543545727E-005
16,TAX,D,712,0.0622213053,3.3510062280584E-008,0.7700939775,0.0225246438,0.0045251455
17,FOREX,D,31,2.94151286652777E-005,5.7716497394722E-006,0.0003060644,3.54307856245131E-009,1.20549057101016E-005
17,HEALTH,D,255,0.0020092558,0,0.032809481,1.30972488241957E-005,0.0005380695
17,INTEREST,D,44,0.0015286777,1.46493903230294E-007,0.0167176481,1.11307408041165E-005,0.0002909129
17,PETROL,D,473,0.0019986389,2.28650715143885E-005,0.0312866718,1.17018149953077E-005,0.0007778665
17,REVERSAL,D,22,0.000732595,3.32732488459442E-005,0.003126536,5.67903349514912E-007,0.0005245791
17,SELF,D,1,0.0185485557,0.0185485557,0.0185485557,0,0.0185485557
17,UNKNOWN,D,3890,0.5228404698,6.8931287387386E-005,1,0.0544420615,0.5159323215
18,BOUNCE CHARGES,D,643,0.0001156235,3.4569030304965E-008,0.0065008118,1.08670519066407E-007,3.32101917592809E-005
18,BRANCH CHARGES,D,810,0.0001702882,1.29077998280991E-005,0.0032947944,9.62862046977614E-008,7.70359474699944E-005
18,CLOSING,D,33,0.0027270486,5.11671549574544E-009,0.0252068732,2.36862892276139E-005,0.001129737
18,CONSUMPTION,D,2986,0.1898242257,3.95935639971867E-005,1,0.0278697333,0.1475073993
18,FOREX CHARGES,D,422,0.0008629868,6.39271320324042E-007,0.037760444,1.0220089755309E-005,7.04876438248903E-005
18,INVESTMENT,D,980,0.063966269,2.40481722357799E-006,0.6903278232,0.0109599588,0.0215834752
18,KIDS,D,54,0.0027209338,1.03424490589532E-005,0.1225572601,0.0002712435,0.0002942382
18,LOCKER CHARGES,D,55,0.000602116,5.89298251725268E-005,0.0023737696,1.57432434949491E-007,0.0005621926
18,LOW BALANCE CHARGES,D,140,0.0006313207,1.81900801976553E-007,0.0051922388,7.44393537150238E-007,0.0003593181
18,SAVINGS,D,1031,0.1591724395,8.96434939932078E-005,1,0.0409920143,0.0714761317
18,STOCK CHARGES,D,14,0.0010278475,0.0001458179,0.0038132023,8.69066306368807E-007,0.0009160381
19,,D,5,0.0113886483,0.0012660294,0.0177001022,3.05227546768066E-005,0.0131150959
19,BOUNCE,D,63,0.0333826684,5.12733531650156E-005,0.3068611324,0.0029620233,0.0134661077
19,CHARITY,D,30,0.0016755292,0.0002007099,0.0049149585,1.47586358613629E-006,0.0012038136
19,HOLD FUND,D,6,0.0066584795,0.000782369,0.014923973,2.36386795259749E-005,0.0063965945
19,INSURANCE,D,1006,0.0173548189,4.29618230555207E-005,0.1907039583,0.0005063031,0.0100358389
19,ONLINE WALLET,D,236,0.0013536718,2.582985700883E-007,0.0343727954,0.000011992,0.0003482345
19,PERSONAL,D,710,0.039813378,3.66580366062408E-007,1,0.0076459288,0.0118359961
19,PREMAT CHARGES,D,18,0.0002153969,2.13941893889569E-006,0.0012348319,9.34031541260704E-008,8.13285878393799E-005
19,SWEEP,D,35,0.0800341062,2.94690323698887E-007,0.4847034812,0.0109252328,0.0396940596
19,TRAVEL,D,1163,0.0074058222,2.49066033575218E-005,0.1211782321,0.0001637145,0.0030362224
19,UNKNOWABLE,D,798,0.0485779333,4.43381804871024E-006,0.8336648941,0.0063702897,0.0116137182
20,BILL PAYMENT,D,1668,0.1022409405,4.97441988045466E-006,1,0.0153154041,0.0650669038
20,CHARGES,D,1334,0.0010681751,9.73589919794904E-009,1,0.0007492242,0.0001713276
20,EMI,D,1162,0.1450881012,4.60550566572238E-008,0.7936217189,0.0172427699,0.107467711
20,PETROL CHARGES,D,655,0.000136402,1.82329313247465E-006,0.0016505332,0.000000041,5.6511733419029E-005
20,TAX,D,283,0.0170019342,4.42981971104928E-008,0.3970682919,0.0021422343,0.0022661428
21,FOREX,D,7,1.40239144781974E-005,3.41733698405733E-006,2.75979436992202E-005,7.01917772565875E-011,0.000014599
21,HEALTH,D,95,0.0015093667,5.93289332755376E-005,0.0144696813,7.20648447585953E-006,0.0004100072
21,INTEREST,D,17,0.003059359,2.53848014608593E-007,0.0443906784,0.0001071859,0.0001215538
21,PETROL,D,165,0.0024035781,3.08008202409837E-005,0.0874335542,5.17822631289224E-005,0.0007953802
21,REVERSAL,D,12,0.0006694517,2.28582939598709E-005,0.0021533829,5.670579862037E-007,0.0002871719
21,SELF,D,1,0.0684434548,0.0684434548,0.0684434548,0,0.0684434548
21,UNKNOWN,D,1491,0.5494976429,1.19432172596135E-006,1,0.0615713809,0.5462893248
22,BOUNCE CHARGES,D,267,6.76825166955792E-005,1.6757608136686E-006,0.0004388784,6.94831037100773E-009,2.31721915042726E-005
22,BRANCH CHARGES,D,322,0.000166774,2.24387281377858E-006,0.0032879079,1.03162946202505E-007,5.77921600779519E-005
22,CLOSING,D,15,0.0005936022,2.68580009787911E-007,0.0035936527,0.00000117,0.000126339
22,CONSUMPTION,D,1232,0.1648447292,5.72591090985952E-007,1,0.0258328287,0.1219896004
22,FOREX CHARGES,D,194,0.0004889332,3.03396149092805E-007,0.0230255444,4.29421264492075E-006,5.40325636393391E-005
22,INVESTMENT,D,424,0.0667294753,3.5816654417431E-005,0.9048786759,0.0174019194,0.0189098418
22,KIDS,D,11,0.0010777698,9.0140471002087E-005,0.0045796572,2.03006133531789E-006,0.0002748252
22,LOCKER CHARGES,D,29,0.0006166759,8.27943658805452E-005,0.0022007565,2.83359677282893E-007,0.0003847456
22,LOW BALANCE CHARGES,D,79,0.0007543949,4.70062786916969E-006,0.0108581912,1.76535024331349E-006,0.0003448891
22,SAVINGS,D,442,0.1586331979,0.0001073673,0.9725394249,0.0437441287,0.0631843507
22,STOCK CHARGES,D,13,0.0006490204,4.29870533480425E-006,0.0024141097,3.7844567478468E-007,0.0003575077
23,,D,1,0.0119333118,0.0119333118,0.0119333118,0,0.0119333118
23,BOUNCE,D,31,0.0547955256,0.0005953967,0.7065460086,0.0190768768,0.0082439194
23,CHARITY,D,14,0.0037971194,9.98538889689371E-005,0.022368351,3.39464624450156E-005,0.0015184165
23,HOLD FUND,D,1,0.0034892254,0.0034892254,0.0034892254,0,0.0034892254
